link,name,enddate
None,ntest,None
None,ntest,None
None,Grinnell CSC321 2016F,None
None,Test,None
None,AHS AP Physics,None
None,AHS AP Physics,None
None,GIS AP Physics 1,None
None,AP Physics 1,None
None,Morckel AP1 Period 5,None
None,Morckel AP1 Period 5,None
None,Magnolia AP Phy 1,None
None,Hylton AP Physics 1 Prep Course,None
None,East Hampton AP Physics I,None
None,East Hampton AP Physics I,None
None,Chicago Bulls College Prep - AP Physics 1,None
None,AP Physics 1 16-17,None
None,Sandbox,None
None,test_course,None
None,test_course,None
None,test_course,None
None,test_course1,None
None,Biology (TestingCCX),None
None,HMC CS4All Test,None
None,UshaG A and F,None
None,Queuing Theory: from Markov Chains to Multi-Server Systems - Campus de Brest,None
None,ELU518,None
None,Queuing Theory - IMT Atlantique,None
None,LIESSE2018,None
None,Queuing Theory - IMT Atlantique (Automne 2018),None
None,STEAM School 2018,None
https://www.edx.org/course/msc-it-2021-ccx-v1imtxdmx1023t2019ccx43,MSc IT 2021,None
https://www.edx.org/course/international-students-university-of-haifa-ccx-v1-israelx-1-2020-1t2024-ccx-52,International Students - University of Haifa,None
None,Jimmy test,None
None,a CCX on edx.org,None
None,Course for 8.011 Incomplete Students,None
None,Ph,None
None,test,None
None,AP\R,None
None,AP® Physics Materials - Introductory Mechanics C Level,None
None,AP® Physics Materials - Introductory Mechanics C Level,None
None,Woodbury High Calc-Based Physics,None
None,8.MechCx_CCX,None
None,Peter's 1st CCX on edx.org,None
None,CCX Test,None
https://www.edx.org/course/aa-test,AA TEST,2031-05-31T00:00:00Z
None,Krutika's Test Course,None
https://www.edx.org/course/manage-the-cyber-threat-for-finance-professionals-course-v1-acca-cs001-2t2023a,Manage the cyber threat for finance professionals,2024-07-31T11:00:00Z
https://www.edx.org/course/introduction-to-bookkeeping-course-v1-acca-fa1-x-fa11t2023,Introduction to Bookkeeping,2024-08-26T15:00:00Z
https://www.edx.org/course/introduction-to-bookkeeping-course-v1-acca-fa1-x-fa11t2024,Introduction to Bookkeeping,2025-08-29T15:00:00Z
https://www.edx.org/course/intermediate-bookkeeping-course-v1-acca-fa2-x-fa21t2023,Intermediate Bookkeeping,2024-08-30T15:00:00Z
https://www.edx.org/course/intermediate-bookkeeping-course-v1-acca-fa2-x-fa21t2024,Intermediate Bookkeeping,2025-08-29T15:00:00Z
https://www.edx.org/course/business-and-technology-course-v1-acca-fbt-bt-ab-fbt1t2023,Business and Technology,2024-08-30T15:00:00Z
https://www.edx.org/course/business-and-technology-course-v1-acca-fbt-bt-ab-fbt1t2024,Business and Technology,2025-08-29T15:00:00Z
https://www.edx.org/course/financial-accounting-course-v1-acca-ffa-f3-x-ffa1t2023,Financial Accounting,2024-08-30T15:00:00Z
https://www.edx.org/course/financial-accounting-course-v1-acca-ffa-f3-x-ffa1t2024,Financial Accounting,2025-08-29T15:00:00Z
https://www.edx.org/course/management-accounting-course-v1-acca-fma-f2-x-fma1t2023,Management Accounting,2024-08-30T15:00:00Z
https://www.edx.org/course/management-accounting-course-v1-acca-fma-f2-x-fma1t2024,Management Accounting,2025-08-29T15:00:00Z
https://www.edx.org/course/introduction-to-management-accounting-course-v1-acca-ma1-x-ma11t2023,Introduction to Management Accounting,2024-08-30T15:00:00Z
https://www.edx.org/course/introduction-to-management-accounting-course-v1-acca-ma1-x-ma11t2024,Introduction to Management Accounting,2025-08-29T15:00:00Z
https://www.edx.org/course/intermediate-management-accounting-course-v1-acca-ma2-x-ma21t2023,Intermediate Management Accounting,2024-08-30T15:00:00Z
https://www.edx.org/course/intermediate-management-accounting-course-v1-acca-ma2-x-ma21t2024,Intermediate Management Accounting,2025-08-29T15:00:00Z
None,ED650: Current Topics in Educational Technology,None
https://www.edx.org/course/machine-learning-with-python-for-finance-professionals-course-v1-acca-ml001-2t2023,Machine learning with Python for finance professionals,2024-07-31T11:00:00Z
https://www.edx.org/course/robotic-process-and-intelligent-automation-for-finance-course-v1-acca-rpia001-2t2023,Robotic process and intelligent automation for finance,2024-07-31T11:00:00Z
https://www.edx.org/course/adam-test-course,adam test course,None
https://www.edx.org/course/academic-writing-course-v1-adelaidex-acdmcwrtx-1t2024,Academic Writing Essentials,2026-02-20T01:30:00Z
https://www.edx.org/course/managing-addiction-framework-successful-adelaidex-addictionx-0,Managing Addiction: A Framework for Successful Treatment,2024-12-31T00:00:00Z
https://www.edx.org/course/build-an-agile-team-course-v1-adelaidex-agilex-2t2023,Build an Agile Team,2026-02-20T01:30:00Z
https://www.edx.org/course/big-data-analytics-course-v1adelaidexanalyticsx1t2021,Big Data Analytics,2025-12-31T00:00:00Z
None,Big Data Analytics,None
https://www.edx.org/course/shakespeare-matters,Shakespeare Matters,2024-12-31T00:00:00Z
https://www.edx.org/course/the-university-of-adelaide-cybersecurity-boot-camp-course-v1-adelaidex-bc24cyb-2t2022m,The University of Adelaide Cybersecurity Boot Camp,2050-07-15T23:59:59Z
https://www.edx.org/course/data-analytics-boot-camp-course-v1-adelaidex-bc24ptdv-1t2023,Data Analytics Boot Camp,2050-03-14T16:00:00Z
https://www.edx.org/course/the-university-of-adelaide-coding-boot-camp-course-v1-adelaidex-bc24ptfsf-2t2022p,The University of Adelaide Coding Boot Camp,2050-07-15T23:59:59Z
https://www.edx.org/course/big-data-fundamentals-course-v1adelaidexbigdatax1t2021,Big Data Fundamentals,2025-12-31T00:00:00Z
https://www.edx.org/course/computational-thinking-and-big-data-course-v1adelaidexcompx1t2021,Computational Thinking and Big Data,2025-12-31T00:00:00Z
https://www.edx.org/course/big-data-capstone-project-course-v1adelaidexdatacapx1t2021,Big Data Capstone Project,2025-12-31T00:00:00Z
https://www.edx.org/course/mathtrackx-differential-calculus,MathTrackX: Differential Calculus,2025-04-30T13:30:00Z
https://www.edx.org/course/create-energised-and-empowered-teams-course-v1-adelaidex-empowerx-2t2023,Create Energised and Empowered Teams,2026-02-20T01:30:00Z
https://www.edx.org/course/entrepreneurial-opportunities-2,Entrepreneurial Opportunities,2024-12-31T00:00:00Z
None,Ethical AI for Students,2025-07-31T02:30:00Z
https://www.edx.org/course/understanding-agribusiness-value-chains-and-consumers-in-global-food-systems-2,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",2024-12-31T00:00:00Z
https://www.edx.org/course/essential-human-biology-cells-and-tissues,Essential Human Biology: Cells and Tissues,2024-12-31T00:00:00Z
None,"Created by accident, wrong course - Essential Human Biology: Cells and Tissues",None
https://www.edx.org/course/human-reproduction,Human Reproduction,2024-12-31T00:00:00Z
https://www.edx.org/course/create-innovative-teams-with-design-thinking-course-v1-adelaidex-innovdtx-2t2023,Create Innovative Teams with Design Thinking,2026-02-20T01:30:00Z
https://www.edx.org/course/mathtrackx-integral-calculus,MathTrackX: Integral Calculus,2025-04-30T13:30:00Z
https://www.edx.org/course/language-revival-securing-future-adelaidex-lang101x-1,Language Revival: Securing the Future of Endangered Languages,2024-12-31T00:00:00Z
https://www.edx.org/course/maths-foundations-course-v1-adelaidex-mathtrackx-1t2024,Maths Foundations,2027-04-05T02:30:00Z
https://www.edx.org/course/music-technology-foundations,Music Technology Foundations,2024-12-31T00:00:00Z
https://www.edx.org/course/nanotechnology-cancelled,Nanotechnology: CANCELLED,None
https://www.edx.org/course/manage-team-performance-course-v1-adelaidex-performax-2t2023,Manage Team Performance,2026-02-20T01:30:00Z
https://www.edx.org/course/mathtrackx-polynomials-functions-and-graphs,"MathTrackX: Polynomials, Functions and Graphs",2025-04-30T13:30:00Z
https://www.edx.org/course/mathtrackx-probability,MathTrackX: Probability,2025-04-30T02:30:00Z
https://www.edx.org/course/programming-for-data-science-course-v1adelaidexprogramx1t2021,Programming for Data Science,2025-12-31T00:00:00Z
https://www.edx.org/course/introduction-project-management-adelaidex-project101x-1,Introduction to Project Management,2024-12-31T00:00:00Z
https://www.edx.org/course/risk-management-for-projects,Risk Management for Projects,2024-12-31T00:00:00Z
https://www.edx.org/course/mathtrackx-special-functions,MathTrackX: Special Functions,2025-04-30T00:00:00Z
https://www.edx.org/course/mathtrackx-statistics,MathTrackX: Statistics,2025-04-30T13:30:00Z
https://www.edx.org/course/manage-virtual-and-hybrid-teams-course-v1-adelaidex-vybridx-2t2023,Manage Virtual and Hybrid Teams,2026-02-20T01:30:00Z
None,Sandbox-TEST-ONLY-PRAGMATIC-AI-LABS,2029-02-01T17:00:00Z
None,Cloud Computing Foundations,2025-04-30T16:00:00Z
None,"Cloud Virtualization, Containers and APIs",2025-04-30T16:00:00Z
None,Cloud Data Engineering,2025-04-30T16:00:00Z
None,Cloud Machine Learning Engineering and MLOps,2025-04-30T16:00:00Z
None,Linux and Bash for Data Engineering,2025-03-30T16:00:00Z
None,Scripting with Python and SQL for Data Engineering,2025-03-30T16:00:00Z
None,Python and Pandas for Data Engineering,2025-03-31T16:00:00Z
None,Web Applications and Command-Line Tools for Data Engineering,2025-03-31T16:00:00Z
None,"Virtualization, Docker, and Kubernetes for Data Engineering",2025-03-31T16:00:00Z
None,"Spark, Hadoop, and Snowflake for Data Engineering",2025-03-31T16:00:00Z
https://www.edx.org/course/llmops-with-azure-course-v1-ai-llmops2x-1t2024,LLMOps with Azure,2028-03-16T16:00:00Z
https://www.edx.org/course/generative-ai-and-llms-on-aws-course-v1-ai-llmops3x-1t2024,Generative AI and LLMs on AWS,2025-03-12T16:00:00Z
https://www.edx.org/course/data-engineering-with-databricks-course-v1-ai-llmops4x-1t2024,Data Engineering with Databricks,2025-03-13T16:00:00Z
https://www.edx.org/course/open-source-llmops-course-v1-ai-llmops5x-1t2024,Open Source LLMOps,2025-03-14T16:00:00Z
https://www.edx.org/course/open-source-llmops-course-v1-ai-llmops6x-1t2024,Advanced Data Engineering,2025-03-14T16:00:00Z
https://www.edx.org/course/applied-local-large-language-models-course-v1-ai-llmops7x-1t2024,Applied Local Large Language Models,2028-03-26T16:00:00Z
https://www.edx.org/course/introduction-to-generative-ai-course-v1-ai-lmops1x-1t2024,Introduction to Generative AI,2028-03-23T16:00:00Z
None,Python Essentials for MLOps,2025-03-20T16:00:00Z
None,"DevOps, DataOps, MLOps",2025-03-20T16:00:00Z
None,MLOps Tools: MLflow and Hugging Face,2025-03-20T16:00:00Z
None,MLOps Platforms: Amazon SageMaker and Azure ML,2025-03-20T16:00:00Z
