,id
0,ccx-v1:adam+Mac_APccx+e0d+ccx@3
1,ccx-v1:adam+Mac_APccx+e0d+ccx@4
2,ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@11
3,ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@5
4,ccx-v1:BUx+PY1x+3T2016+ccx@12
5,ccx-v1:BUx+PY1x+3T2016+ccx@13
6,ccx-v1:BUx+PY1x+3T2016+ccx@14
7,ccx-v1:BUx+PY1x+3T2016+ccx@17
8,ccx-v1:BUx+PY1x+3T2016+ccx@18
9,ccx-v1:BUx+PY1x+3T2016+ccx@19
10,ccx-v1:BUx+PY1x+3T2016+ccx@20
11,ccx-v1:BUx+PY1x+3T2016+ccx@21
12,ccx-v1:BUx+PY1x+3T2016+ccx@22
13,ccx-v1:BUx+PY1x+3T2016+ccx@23
14,ccx-v1:BUx+PY1x+3T2016+ccx@24
15,ccx-v1:BUx+PY1x+3T2016+ccx@27
16,ccx-v1:CornellX+Test2+1T2080+ccx@42
17,ccx-v1:edX+ATC2017+2017+ccx@30
18,ccx-v1:edX+ATC2017+2017+ccx@31
19,ccx-v1:edX+ATC2017+2017+ccx@32
20,ccx-v1:edX+edx111+2020+ccx@34
21,ccx-v1:HarvardX+MCB64.1x+2T2016+ccx@28
22,ccx-v1:HarveyMuddX+CS005x+2T2016+ccx@25
23,ccx-v1:IIMBx+AC104x+2T2017+ccx@39
24,ccx-v1:IMTx+CS101+1T2018+ccx@35
25,ccx-v1:IMTx+CS101+1T2018+ccx@36
26,ccx-v1:IMTx+CS101+1T2018+ccx@37
27,ccx-v1:IMTx+CS101+1T2018+ccx@38
28,ccx-v1:IMTx+CS101+3T2018+ccx@40
29,ccx-v1:IMTx+DMx102+3T2018+ccx@41
30,ccx-v1:IMTx+DMx102+3T2019+ccx@43
31,ccx-v1:IsraelX+1_2020+1T2024+ccx@52
32,ccx-v1:IsraelX+sandbox+2T2024+ccx@44
33,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@10
34,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@2
35,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@26
36,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@6
37,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@7
38,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@8
39,ccx-v1:MITx+8.MechCx_2+1T2016+ccx@9
40,ccx-v1:MITx+8.MechCx_2+2T2015+ccx@15
41,ccx-v1:MITx+8.MechCx_2+2T2015+ccx@16
42,ccx-v1:MITx+MITTEST+2015_T1+ccx@1
43,ccx-v1:RWTHx+VC101x+3T2017a+ccx@29
44,course-v1:AA+AA101+2015_T1
45,course-v1:ACCA+ACCAtest1x+3T2020
46,course-v1:ACCA+CS001+2T2023a
47,course-v1:ACCA+FA1.X+FA11T2023
48,course-v1:ACCA+FA1.X+FA11T2024
49,course-v1:ACCA+FA2.X+FA21T2023
50,course-v1:ACCA+FA2.X+FA21T2024
51,course-v1:ACCA+FBT-BT-AB+FBT1T2023
52,course-v1:ACCA+FBT-BT-AB+FBT1T2024
53,course-v1:ACCA+FFA-F3.x+FFA1T2023
54,course-v1:ACCA+FFA-F3.x+FFA1T2024
55,course-v1:ACCA+FMA-F2.x+FMA1T2023
56,course-v1:ACCA+FMA-F2.x+FMA1T2024
57,course-v1:ACCA+MA1.X+MA11T2023
58,course-v1:ACCA+MA1.X+MA11T2024
59,course-v1:ACCA+MA2.X+MA21T2023
60,course-v1:ACCA+MA2.X+MA21T2024
61,course-v1:ACCA+MCS001+2T2021
62,course-v1:ACCA+ML001+2T2023
63,course-v1:ACCA+RPIA001+2T2023
64,course-v1:adam+adam+adam
65,course-v1:AdelaideX+AcdmcWrtX+1T2024
66,course-v1:AdelaideX+AddictionX+3T2016
67,course-v1:AdelaideX+AgileX+2T2023
68,course-v1:AdelaideX+AnalyticsX+1T2021
69,course-v1:AdelaideX+AnalyticsX+3T2017
70,course-v1:AdelaideX+Bard101x+3T2018
71,course-v1:AdelaideX+BC24CYB+2T2022m
72,course-v1:AdelaideX+BC24PTDV+1T2023
73,course-v1:AdelaideX+BC24PTFSF+2T2022p
74,course-v1:AdelaideX+BigDataX+1T2021
75,course-v1:AdelaideX+CompX+1T2021
76,course-v1:AdelaideX+DataCapX+1T2021
77,course-v1:AdelaideX+DiffTraX+1T2020
78,course-v1:AdelaideX+EmpowerX+2T2023
79,course-v1:AdelaideX+Entrep101X+1T2018
80,course-v1:AdelaideX+EthicalAIx+2T2024
81,course-v1:AdelaideX+GFABx+1T2019
82,course-v1:AdelaideX+HumBio101x+1T2018
83,course-v1:AdelaideX+HumBio101x+2T2017
84,course-v1:AdelaideX+HumReproX+1T2019
85,course-v1:AdelaideX+InnovDTX+2T2023
86,course-v1:AdelaideX+InteTraX+1T2020
87,course-v1:AdelaideX+Lang101x+3T2017
88,course-v1:AdelaideX+MathTrackX+1T2024
89,course-v1:AdelaideX+MusonicX+1T2018
90,course-v1:AdelaideX+NanoX+2T2016
91,course-v1:AdelaideX+PerformaX+2T2023
92,course-v1:AdelaideX+PolyTraX+1T2020
93,course-v1:AdelaideX+ProbTraX+1T2020
94,course-v1:AdelaideX+ProgramX+1T2021
95,course-v1:AdelaideX+Project101x+1T2017
96,course-v1:AdelaideX+RiskX+2T2018
97,course-v1:AdelaideX+SpecTraX+1T2020
98,course-v1:AdelaideX+StatTraX+1T2020
99,course-v1:AdelaideX+VybridX+2T2023
100,course-v1:AdelaideX+Wine101x+2T2016
101,course-v1:AI+1+1T2029
102,course-v1:AI+cloud1x+1T2024
103,course-v1:AI+cloud2x+1T2024
104,course-v1:AI+cloud3x+1T2024
105,course-v1:AI+cloud4x+1T2024
106,course-v1:AI+dataeng1x+1T2024
107,course-v1:AI+dataeng2x+1T2024
108,course-v1:AI+dataeng3x+1T2024
109,course-v1:AI+dataeng4x+1T2024
110,course-v1:AI+dataeng5x+1T2024
111,course-v1:AI+dataeng6x+1T2024
112,course-v1:AI+LLMOPS2x+1T2024
113,course-v1:AI+llmops3x+1T2024
114,course-v1:AI+llmops4x+1T2024
115,course-v1:AI+llmops5x+1T2024
116,course-v1:AI+llmops6x+1T2024
117,course-v1:AI+llmops7x+1T2024
118,course-v1:AI+LMOPS1x+1T2024
119,course-v1:AI+mlops1x+1T2024
120,course-v1:AI+mlops2x+1T2024
121,course-v1:AI+mlops3x+1T2024
122,course-v1:AI+mlops4x+1T2024
123,course-v1:AI+mr2x+1T2024
124,course-v1:AI+rust3x+1T2024
125,course-v1:AI+rust4x+1T2024
126,course-v1:AI+rust5x+1T2024
127,course-v1:AlaskaX+ACEP1x+2T2023
128,course-v1:AlaskaX+ACEP2x+2T2023
129,course-v1:AlaskaX+ARCSEC-1+1T2024
130,course-v1:AlaskaX+ES101+1T2023
131,course-v1:AlaskaX+FEWx+2T2023
132,course-v1:AlaskaX+FISH-SPP+2T2024
133,course-v1:AlaskaX+GENE1x+2T2023
134,course-v1:AlaskaX+GENE2x+2T2023
135,course-v1:AlaskaX+GENE3x+2T2023
136,course-v1:AlaskaX+GENE4x+2T2023
137,course-v1:AlaskaX+GENE5x+2T2023
138,course-v1:AlaskaX+GIS1x+2T2023
139,course-v1:AlaskaX+GIS2x+2T2023
140,course-v1:AlaskaX+GIS3x+2T2023
141,course-v1:AlaskaX+GIS4x+3T2025
142,course-v1:AlaskaX+GRANT1x+1T2023
143,course-v1:AlaskaX+GROW1x+3T2024
144,course-v1:AlaskaX+IARC100+3T2023
145,course-v1:AlaskaX+INU1x+3T2022
146,course-v1:AlaskaX+MAKE1x+2T2024
147,course-v1:AlaskaX+MH1x+2T2022
148,course-v1:AlaskaX+MH2x+2T2022
149,course-v1:AlaskaX+MINING1x+1T2023
150,course-v1:AlaskaX+MORE+1T2023
151,course-v1:AlaskaX+NEURO1x+2T2022
152,course-v1:AlaskaX+NEURO2x+2T2022
153,course-v1:AlaskaX+NEURO3x+2T2022
154,course-v1:AlaskaX+OH1x+3T2022
155,course-v1:AlaskaX+OH2x+3T2022
156,course-v1:AlaskaX+OH3x+3T2022
157,course-v1:AlaskaX+PREP1x+3T2022
158,course-v1:AlaskaX+RSW1+2T2023
